AED모델명,우편번호(앞자리),우편번호(뒤자리),관리책임자명,관리자연락처,설치기관주소,설치기관전화번호,설치위치,제조사,설치기관명,경도,위도
HeartGuardian HR-701 Plus A,40,54,현**,02-*******,"서울특별시 마포구 와우산로23길 20-27, 서울서교초등학교 (서교동)",02-3143-0671,본관중앙현관 1층,라디안큐바이오,서울서교초등학교,126.9243824,37.55488173
HR-701PULSA,50,88,김**,010********,"서울특별시 광진구 뚝섬로24길 74 (자양동, 광진 한화꿈에그린아파트)",02-463-8234,1층 오른쪽,라디안큐바이오,꿈에그린경로당,127.0619884,37.53338877
HR-701-plus A,20,53,이**,010********,"서울특별시 중랑구 용마산로 669 (신내동, 신내데시앙아파트)",010-3150-8856,경로당내,라디안,신내데시앙아파트경로당,127.0989769,37.609769
HR-701 Plus A,85,4,이**,02-******,"서울특별시 금천구 서부샛길 606, 대성디폴리스지식산업센터 (가산동)",02-861-9136,B동 로비,라디안큐바이오,디폴리스지식산업센터,126.8770082,37.4799535
HR-501,70,64,김**,02-******,"서울특별시 동작구 여의대방로 28 (신대방동, 현대아파트)",28356423,중앙관제실,라디안큐바이오,신대방 현대아파트,126.9116905,37.49527344
HR-701 PLUS A,75,11,황**,010********,"서울특별시 강서구 금낭화로24길 5, 방화3동주민센터,어린이도서관 (방화동)",02-2661-1173,헬스장 출입구 옆 벽면,라디안큐바이오,방화3동자치회관헬스장,126.8136575,37.57871896
HeartOn A16-GS,75,69,김**,010********,"서울특별시 강서구 공항대로53가길 55, 등촌1동주민센터 (등촌동)",02-2600-7583,자치회관 헬스장 내,메디아나,등촌1동자치회관헬스장,126.8589098,37.55582869
HR-701 PLUS-A,75,29,나**,02-*******,"서울특별시 강서구 허준로 30, 가양1동주민센터 (가양동)",02-2600-7771,지하1층 헬스장 입구,라디안큐바이오,가양1동자치회관헬스장,126.8447046,37.56948816
HR-701 PLUS A,75,32,이**,010********,"서울특별시 강서구 허준로 202, 가양3동주민센터 (가양동)",02-3662-7898,지하1층 헬스장,라디안큐바이오,가양3동자치회관헬스장,126.8605577,37.56108697
HeartOn A16-GS,77,50,이**,02-*******,"서울특별시 강서구 곰달래로37길 13, 화곡2동주민센터 (화곡동)",02-2600-7534,자치회관 헬스장 내부,메디아나,화곡2동자치회관헬스장,126.8544885,37.53182784
HeartOn A16-GS,77,13,정**,02-*******,"서울특별시 강서구 강서로33가길 17, 화곡3동주민센터 (화곡동)",02-2600-7565,자치회관 지하 헬스장 앞,메디아나,화곡3동자치회관헬스장,126.8384139,37.54252631
HR-701 PLUS A,76,27,김**,02-*******,"서울특별시 강서구 송정로 45, 공항동주민센터 (공항동)",02-2600-7999,문화체육센터 내 헬스장,라디안큐바이오,공항동문화체육센터헬스장,126.8100743,37.55878281
HeartOn A16-GS,76,90,남**,010********,"서울특별시 강서구 우현로 34, 우장산동주민센터 (화곡동)",02-2600-7726,헬스장 창가안쪽 기둥,메디아나,우장산동자치회관헬스장,126.8418363,37.54828859
HeartOn A16-GS,77,67,김**,010********,"서울특별시 강서구 월정로30길 96, 강서구보건소화곡분소 (화곡동)",02-2600-7493,지하첼스장 내부,메디아나,화곡보건분소헬스장,126.8410987,37.53546801
HeartOn A16-GS,18,12,강**,011*******,"서울특별시 노원구 노원로 75, 한국원자력의학원 (공릉동)",02-3399-5854,704루4182,메디아나,한국원자력의학원구급차,127.0830177,37.62860681
Heart on A15,14,49,장**,02-******,"서울특별시 도봉구 우이천로 304 (쌍문동, 쌍문한양아파트)",02-907-2335,관리사무소 1층,메디아나,쌍문한양1차아파트,127.0298113,37.64510569
저출력심장충격기,27,60,김**,010********,서울특별시 성북구 한천로 724 (장위동),070-8892-5366,1GATE,(주)나눔테크,대우건설장위6구역주택재개발정비현장,127.0572063,37.6171124
저출력심장충격기,27,60,김**,010********,서울특별시 성북구 한천로 724 (장위동),070-8892-5366,2GATE,(주)나눔테크,대우건설장위6구역주택재개발정비현장,127.0572063,37.6171124
